,image_id,orig_nima_vgg16_score,orig_nima_mobilenetv2_score,orig_ia_fine_score,orig_ia_pre_score,orig_ia_pre_styles_change,dist_nima_vgg16_score,dist_nima_mobilenetv2_score,dist_ia_fine_score,dist_ia_pre_score,dist_ia_pre_styles_change,dist_filters
0,pexels-photo-3331574,5.022491216659546,4.65066522359848,4.589105546474457,0.05546024441719055,"[-1.1765371561050415, 1.545508623123169, -0.2626582384109497, 0.8079252243041992, 0.5816031694412231, 0.5772862434387207, 0.17453201115131378, 0.40568333864212036, -0.08661861717700958]",4.640860557556152,4.47042852640152,4.506262242794037,0.05229344218969345,"[-0.9216268062591553, 1.340545415878296, -0.27785104513168335, 0.7061982154846191, 0.6345072984695435, 0.7625790238380432, 0.12068191170692444, 0.3860827684402466, -0.44340234994888306]","[0.9976636935622967, -0.006065955011731683, -0.1844452274135513, 0.4379764226863756, 0.021393538895051245, -0.9195432994480024, -0.6029728426344989, 0.09872247969988934]"
1,pexels-photo-1891234,5.5238789319992065,4.686440825462341,4.774128496646881,0.7637051343917847,"[-0.2364967167377472, -0.06928420066833496, -0.1900889277458191, -0.1198391318321228, -0.05831834673881531, -0.2777366042137146, 0.09823992848396301, 0.17642223834991455, 0.11134740710258484]",5.545710325241089,4.567319750785828,4.634295403957367,0.19144491851329803,"[-0.12903553247451782, -0.03876344859600067, -0.24774670600891113, -0.23087000846862793, 0.16215568780899048, -0.10726743936538696, 0.13690942525863647, -0.002508409321308136, 0.28843259811401367]","[0.20536859964455956, 0.03614481291999905, 0.2327959502037551, 0.17054331086509555, 0.9498188302210968, 0.23331634108615318, 0.5935120504793221, -0.49388553231659293]"
2,pexels-photo-3623778,5.369309186935425,4.610592424869537,4.5894622802734375,0.4035910665988922,"[-0.5000857710838318, 1.0223634243011475, -0.9386471509933472, 0.6147140264511108, 0.4712187945842743, 0.37478846311569214, -0.02249246835708618, 0.2712682783603668, -0.5211753845214844]",4.650557637214661,4.433037638664246,4.448604583740234,0.04533853381872177,"[-0.22194939851760864, 0.8701981902122498, -0.6759462356567383, 0.041772693395614624, 0.995598554611206, 0.7010554075241089, 0.004686459898948669, -0.5483641624450684, -0.09255477041006088]","[0.41765705714056844, -0.9901609274310961, 0.9886454795028783, -0.45229126446949763, 0.3562546067279011, 0.7204808608697137, -0.8652269345504631, -0.9189928923775401]"
3,pexels-photo-3428295,5.386760830879211,5.154709815979004,5.054429769515991,0.46989327669143677,"[-0.49441230297088623, 0.8352816104888916, -0.2455519437789917, 0.4187556803226471, 0.35204821825027466, 0.156769260764122, 0.08666138350963593, 0.6241085529327393, -0.40211012959480286]",4.95884895324707,4.2365822196006775,4.259797632694244,0.5080376863479614,"[-0.34873443841934204, 0.46617141366004944, 0.07540051639080048, 0.22779253125190735, 0.1378791183233261, 0.491638720035553, 0.07448693364858627, 0.12942063808441162, -0.1350659877061844]","[0.16339855953940874, -0.9531344560806583, -0.6429451793814223, 0.057937167719205096, -0.10612502604639218, -0.40200561335318885, -0.9327730451711571, 0.194530470309477]"
4,pexels-photo-220213,5.61074435710907,5.406132936477661,5.3767359256744385,0.07467278838157654,"[0.4196002781391144, -1.013942003250122, 1.29957914352417, -0.502718448638916, -0.15528255701065063, 0.18603485822677612, 0.3582627475261688, 0.2994385361671448, 0.1531401127576828]",5.751594305038452,5.5997854471206665,5.652515888214111,0.03905932232737541,"[0.48950454592704773, -0.7351327538490295, 1.004457712173462, -0.3972673714160919, -0.008921504020690918, 0.296652615070343, 0.3270813226699829, -0.02915629744529724, 0.04222148656845093]","[-0.8174980447605755, 0.8777023040843832, -0.5652162166266221, -0.45592646172078655, -0.3064823728680519, -0.8983649717008031, -0.30413180523614725, 0.492033327198123]"
5,pexels-photo-3367550,5.098705887794495,4.584140777587891,4.647471904754639,0.10603770613670349,"[-0.6952885389328003, 0.7041215896606445, 0.23420438170433044, 0.2742731273174286, 0.24044641852378845, 0.26956018805503845, 0.23303937911987305, -0.09009871631860733, 0.1616119146347046]",5.035730600357056,4.440121054649353,4.402252733707428,0.05200264975428581,"[-0.8157587051391602, 0.9302302002906799, -0.09915871173143387, 0.6714760065078735, 0.4329942464828491, 0.385373055934906, 0.21793967485427856, -0.9984471797943115, 0.8777366876602173]","[-0.5000289186239142, -0.0568825870843328, -0.017702361691134927, -0.6000003650372996, 0.7790366067919388, -0.9850321154786443, 0.5515538927308015, -0.6508495950609123]"
6,pexels-photo-2858267,5.551602840423584,4.897405207157135,4.823907911777496,0.2280125916004181,"[-0.6202399134635925, 0.3171929717063904, -0.087071992456913, 0.2192172110080719, 0.03889179229736328, 0.1822333037853241, 0.14817900955677032, 0.8646256923675537, -0.2384255826473236]",5.835635662078857,5.2480703592300415,5.363730192184448,0.09303048253059387,"[-0.3921627700328827, 0.41433480381965637, 0.009424164891242981, 0.01668447256088257, 0.28862136602401733, 0.226512610912323, 0.20643198490142822, 0.25130316615104675, 0.46387791633605957]","[-0.46551746179289966, 0.9742899378184151, 0.06296859261385945, -0.6102507856054418, 0.8359317769438408, 0.055560944610123064, 0.19176776560378817, 0.9580330979599287]"
7,pexels-photo-929284,5.316233038902283,5.447943806648254,5.488642454147339,0.22147592902183533,"[-0.774010419845581, 1.1926319599151611, 0.21636244654655457, 0.8771708011627197, 0.4798140525817871, 0.7672175765037537, 0.1484171599149704, 0.6300491094589233, -0.41143250465393066]",4.758006036281586,4.684485495090485,4.75134938955307,0.5471166372299194,"[-0.16018640995025635, 0.2692563235759735, 0.027382753789424896, 0.35388264060020447, 0.07373741269111633, 0.14849872887134552, 0.1653347909450531, -0.2790156602859497, 0.034874096512794495]","[-0.3750146043263498, -0.7760088208861744, 0.22654884809792475, 0.7906459975239186, 0.8696200094004864, -0.9442483701662603, -0.414814604307465, -0.5865427625250095]"
8,pexels-photo-1642552,5.536234974861145,4.970805048942566,5.025834441184998,0.21598702669143677,"[-0.8159042000770569, 0.6139217615127563, -0.1172148659825325, -0.27251335978507996, 0.9412028789520264, -0.31457558274269104, 0.14804919064044952, 0.011535175144672394, 0.15201345086097717]",4.572950303554535,4.552680552005768,4.602372050285339,0.45425790548324585,"[-0.3690545856952667, 0.502923309803009, 0.03594452887773514, -0.0944557934999466, 0.9953464269638062, -0.0648546889424324, 0.11902424693107605, 0.668107271194458, -0.7913097143173218]","[0.8227427693320588, 0.45737246778430674, 0.9714027381362009, 0.7194108388050091, 0.17963978708375605, 0.618203197653481, -0.1896155663744472, 0.2690108794757222]"
9,pexels-photo-2306809,4.887588918209076,4.2337566614151,4.154323041439056,0.2915080487728119,"[-0.9435697793960571, 1.9952094554901123, -0.25573912262916565, 1.355924129486084, 1.0690233707427979, 1.294548749923706, 0.09499164670705795, 0.5067301988601685, -0.5088303089141846]",4.865609109401703,4.916374087333679,4.948488175868988,0.21568267047405243,"[-0.7673975229263306, 1.7581164836883545, -0.7076546549797058, 1.236886978149414, 1.0349715948104858, 0.8869096636772156, 0.014627814292907715, 0.7035677433013916, -0.9141097664833069]","[0.6957021991656009, -0.5649118954897634, 0.6882752958603238, 0.6087506659905342, -0.40923937327473836, -0.16415666584916488, 0.7185579408519926, -0.8654732051310978]"
