,image_id,ava_score,orig_nima_vgg16_score,orig_nima_mobilenetv2_score,orig_ia_fine_score,orig_ia_pre_score,orig_ia_pre_styles_change,dist_nima_vgg16_score,dist_nima_mobilenetv2_score,dist_ia_fine_score,dist_ia_pre_score,dist_ia_pre_styles_change,dist_filters
0,106,8.6,4.9285173416137695,4.737417101860046,4.726523458957672,0.06328283995389938,"[-0.25742414593696594, 0.009232072159647942, 0.5874730944633484, -0.21704338490962982, -0.11473855376243591, 0.18523624539375305, 0.2616312503814697, 0.21948456764221191, 0.4264807403087616]",4.887877404689789,4.735353887081146,4.724792540073395,0.08662716299295425,"[-0.08616974204778671, -0.1794407069683075, 0.5154536366462708, -0.47610148787498474, -0.007090121507644653, 0.12423347681760788, 0.2478443831205368, 0.1069440022110939, 0.29028934240341187]","[0.3973171976346317, -0.8162379934290929, 0.5076844575614838, -0.7621399719375883, 0.11581822922298968, 0.20119069100315845, 0.6193975772176807, -0.30282895346142835]"
1,9482,8.571428571428571,5.8367204666137695,4.557635188102722,4.498566687107086,0.19234269857406616,"[-1.5302207469940186, 1.9012256860733032, 0.21553130447864532, 0.6078382730484009, 1.0329838991165161, 0.5365127325057983, 0.23793888092041016, 0.6340869665145874, -0.15522737801074982]",5.621893405914307,4.4666653871536255,4.45254385471344,0.10726899653673172,"[-1.7481461763381958, 2.110448122024536, 0.1937563270330429, 0.6039849519729614, 0.9525401592254639, 0.5830978751182556, 0.2405083179473877, 0.5673232078552246, -0.008349861949682236]","[0.04374389247738697, 0.9648575071605825, 0.02433089365956631, -0.6088459680146932, -0.03089228366236285, 0.6796853539146048, -0.4685113474538569, 0.17798927785953844]"
2,150,8.517441860465116,6.1097389459609985,5.3968024253845215,5.42235255241394,0.15518538653850555,"[-0.5012785196304321, 0.7748000621795654, 0.18639087677001953, 0.45995667576789856, 0.20671072602272034, 0.36278772354125977, 0.19442689418792725, -0.7149258255958557, 0.72879558801651]",5.851789712905884,5.188738703727722,5.2310967445373535,0.27135905623435974,"[-0.43988901376724243, 0.6749991774559021, 0.5474338531494141, 0.20846644043922424, 0.4046896994113922, 0.19944709539413452, 0.21167951822280884, -0.1877100169658661, 0.42168328166007996]","[0.6225132213382218, -0.8460170778033138, 0.887808569698695, -0.9260751140123902, -0.632291377259284, -0.0935955064821723, 0.5321723543195755, 0.21160010652335526]"
3,491369,8.399253731343284,4.608510136604309,4.30027961730957,4.311124682426453,0.6932523250579834,"[-0.9201782941818237, 1.5099703073501587, -0.6994291543960571, 0.7529432773590088, 0.5989193320274353, 0.24338281154632568, 0.01232503354549408, 0.29728513956069946, -0.21901148557662964]",5.421121716499329,4.713284969329834,4.820447564125061,0.7191219329833984,"[-0.6984250545501709, 1.1320799589157104, -0.6229757070541382, 0.4856608808040619, 0.6285257339477539, 0.08755745738744736, 0.022025570273399353, 0.21719881892204285, -0.05956994369626045]","[-0.7499348067601956, 0.3814666292160014, -0.49957271784124724, 0.12218354801254128, 0.41893664811370335, 0.2908709324445844, 0.685757992286798, 0.19388038428998344]"
4,55938,8.388059701492537,6.255231499671936,5.423118472099304,5.359712839126587,0.22680439054965973,"[-0.47599393129348755, 0.75160151720047, -0.21089521050453186, 0.3243783414363861, 0.16866269707679749, 0.13932044804096222, 0.13509853184223175, -0.457541823387146, 0.6071200370788574]",6.056355237960815,4.877056181430817,4.763617515563965,0.2256772667169571,"[-0.5076562762260437, 0.8436618447303772, -0.24804094433784485, 0.35715553164482117, 0.16871479153633118, 0.2170165479183197, 0.14010237157344818, -0.6087506413459778, 0.7133613228797913]","[-0.558273020608558, -0.4307120733827994, -0.2708605024923658, 0.18373289956411343, -0.358662112861895, 0.12644141861184544, -0.9493611583879367, -0.31560435790261643]"
5,642962,8.387453874538746,5.936468243598938,4.8092785477638245,4.81457382440567,0.19385331869125366,"[-0.08852701634168625, 0.11318531632423401, 0.31652480363845825, -0.3146638870239258, 0.38986796140670776, 0.1569197177886963, 0.2208898663520813, -0.05229843407869339, 0.11932447552680969]",5.728874206542969,4.6563920378685,4.601308703422546,0.26232028007507324,"[-0.14192530512809753, 0.043372973799705505, 0.5572649240493774, -0.23616072535514832, 0.12171211838722229, 0.0986875668168068, 0.2441587746143341, 0.3349040150642395, -0.05873463302850723]","[0.775498053767329, 0.89899486267495, -0.029922399069238326, -0.6196153336053225, 0.44169120699917075, 0.23548291323311532, -0.9413979157534389, -0.0202990870129085]"
6,543104,8.361216730038024,6.079780459403992,5.652121305465698,5.620085000991821,0.18551042675971985,"[-0.41136664152145386, 0.6450086236000061, -0.29614850878715515, 0.36936256289482117, 0.33565008640289307, 0.3661864697933197, 0.13224908709526062, -0.05299677699804306, 0.19862504303455353]",5.440402030944824,5.199393033981323,5.201342701911926,0.19142670929431915,"[-0.4910390377044678, 0.6807478070259094, -0.4277549386024475, 0.2214944064617157, 0.29643404483795166, 0.31523486971855164, 0.13134156167507172, -0.05836520344018936, 0.1344219446182251]","[-0.5230958980810982, -0.007838594572819213, -0.762004960426768, 0.09659959329605594, -0.16413105565990604, -0.49700845851273345, -0.27974624742619447, -0.34895300317768885]"
7,267110,8.31081081081081,5.484972596168518,4.980526566505432,4.811001718044281,0.16535377502441406,"[0.11797681450843811, -0.4600044786930084, 0.5817464590072632, -0.4137495160102844, -0.02934899926185608, -0.24210631847381592, 0.27196574211120605, 0.04321107268333435, 0.554594099521637]",5.113161206245422,4.8763686418533325,4.910869598388672,0.335200697183609,"[0.1212330311536789, -0.3557300865650177, 0.5147082209587097, -0.0883854329586029, -0.14125698804855347, -0.16281923651695251, 0.2398199886083603, -0.36195290088653564, 0.7075504064559937]","[-0.5679255731540316, 0.4008038308435604, 0.3477212241050698, -0.8659385190628073, 0.6918165422197764, 0.055416032491475864, -0.4046899668934052, 0.43165742382532635]"
8,2892,8.304,5.930946469306946,5.352088212966919,5.407803654670715,0.3950321078300476,"[-0.2784661054611206, 0.1412581503391266, 0.3064558506011963, 0.0020706504583358765, -0.057928770780563354, 0.252146452665329, 0.191926047205925, 0.8601953983306885, 0.2994146943092346]",5.7862138748168945,5.228228569030762,5.266844630241394,0.3369121849536896,"[-0.4362441599369049, 0.22626405954360962, 0.25105494260787964, -0.09760373830795288, 0.011371880769729614, 0.1938612461090088, 0.20016343891620636, 0.9567782878875732, 0.27626004815101624]","[0.936043346913624, 0.10931152753379636, -0.103199060404773, 0.0317230932017003, 0.19381361667382424, -0.9898961852652439, 0.676965883731925, 0.8565058575991789]"
9,455890,8.3,6.155511140823364,5.587202310562134,5.5264198780059814,0.7367362976074219,"[-0.11898680776357651, 0.2992030084133148, -0.2554439902305603, -0.3052849769592285, 0.6531170606613159, 0.13257256150245667, 0.08544037491083145, -0.06903678923845291, 0.5418418645858765]",5.506712198257446,4.91104781627655,4.828725457191467,0.42434918880462646,"[-0.12503483891487122, 0.23748818039894104, -0.19935497641563416, -0.35975557565689087, 0.543962299823761, 0.10988166183233261, 0.09062259644269943, 0.0038129910826683044, 0.2968171536922455]","[0.2374606071215939, 0.07342434623843497, -0.1031468763417327, 0.0347764214588675, 0.5292284725014325, -0.7038486942801101, -0.8340306947671534, 0.9417089396501954]"
