,image_id,orig_ia_pre_score,dist_ia_pre_score,rest_ia_pre_score,orig_ia_pre_styles_change,dist_ia_pre_styles_change,rest_ia_pre_styles_change,orig_ia_pre_styles_change_strength,dist_ia_pre_styles_change_strength,rest_ia_pre_styles_change_strength,distance_to_orig
0,pexels-photo-1934762_-1_0_3_0_-2.jpeg,0.7073724269866943,0.2255884557962417,0.3182179033756256,"[-0.10187926143407822, 0.40361034870147705, 0.10039089620113373, 0.04667246341705322, 0.8086121082305908, -0.002180701121687889, 0.09256090968847275, 0.12208971381187439, -0.09840653836727142]","[-0.09767118841409683, 0.26393917202949524, -0.01197776198387146, -0.2820137143135071, 0.8011127710342407, -0.1488470435142517, 0.09484878182411194, -0.0005632862448692322, -0.20562708377838135]","[-0.04116515815258026, 0.20261359214782715, -0.015803635120391846, -0.10011771321296692, 0.5495631694793701, -0.1372555047273636, 0.10708276927471161, 0.05331459641456604, -0.17014072835445404]",0.1973781045526266,0.2118445336818695,0.1530063185426924,0.0677777940324811
1,strawberry-water-splashes-splash-drop-of-water-407040_-1_-1_-1_-3_-1.jpeg,0.2647424042224884,0.2638698518276214,0.3133913278579712,"[-0.4539446234703064, 0.39227473735809326, 0.6741530895233154, 0.3192506730556488, 0.20780420303344727, 0.18368478119373322, 0.2264399379491806, 0.3230780065059662, 0.31096428632736206]","[-0.3121688961982727, 0.28789398074150085, 0.7303131222724915, 0.21119332313537598, 0.35160934925079346, 0.2733975052833557, 0.21693551540374756, 0.07173656672239304, 0.0459577739238739]","[-0.36120691895484924, 0.20226478576660156, 0.9158647656440735, 0.23466095328330994, 0.25675368309020996, 0.16978657245635986, 0.24531970918178558, 0.11745774000883102, 0.18268267810344696]",0.3435104820463392,0.2779117814368672,0.2984442007210519,0.6044239649294862
2,pexels-photo-149541_-1_-1_0_0_0.jpeg,0.3371515274047851,0.5486237406730652,0.4482185840606689,"[-0.26225516200065613, 0.6081196069717407, -0.35377952456474304, 0.6754192113876343, 0.43130239844322205, 0.34867575764656067, 0.08585409075021744, 0.40983325242996216, -0.34872889518737793]","[-0.6975761651992798, 1.119452953338623, -0.413581907749176, 0.8613450527191162, 0.41080188751220703, 0.7420015335083008, 0.029401198029518127, 0.557861328125, -0.3681894540786743]","[-0.6440295577049255, 1.021060585975647, -0.37025660276412964, 0.8463177680969238, 0.34716013073921204, 0.6698234677314758, 0.04130151867866516, 0.424113392829895, -0.2779533863067627]",0.3915519888202349,0.5778012755844328,0.5157796012030708,0.1979826776092466
3,pexels-photo-3177812_-1_0_1_-1_-1.jpeg,0.6473663449287415,0.579226553440094,0.6807447671890259,"[-0.15692615509033203, 0.23208728432655334, 0.4617801606655121, 0.07797503471374512, 0.26030707359313965, 0.0417884960770607, 0.21859490871429443, 0.24651792645454407, -0.10422447323799133]","[-0.09379275888204575, 0.13418890535831451, 0.45885252952575684, 0.019977182149887085, 0.27085036039352417, 0.0010818596929311752, 0.23395639657974243, 0.25111618638038635, -0.08844496309757233]","[-0.06900105625391006, 0.1446060836315155, 0.5097500681877136, 0.06428039073944092, 0.2795770764350891, 0.02417493797838688, 0.22458314895629883, 0.27876245975494385, -0.12126341462135315]",0.2000223903192414,0.1724734602289067,0.1906665151731835,0.1361656138187772
4,pexels-photo-2990769_-1_-1_0_-1_-2.jpeg,0.5749116539955139,0.1049234718084335,0.1674427092075348,"[0.13866108655929565, -0.09084498882293701, 0.36115333437919617, -0.0458219051361084, 0.043625473976135254, 0.07877755910158157, 0.19146493077278137, -0.27974018454551697, 0.11647024750709534]","[0.20240890979766846, -0.26133352518081665, 0.3938472867012024, -0.5313351154327393, 0.07236114144325256, 0.10432053357362747, 0.1682860255241394, 0.031706903129816055, -0.15968367457389832]","[0.14144107699394226, -0.04574646055698395, 0.15455657243728638, -0.23296786844730377, 0.19205033779144287, 0.0379190668463707, 0.13022463023662567, -0.11696190387010574, -0.043117307126522064]",0.1496177456445164,0.2139203461507956,0.1216650249229537,0.1532245093775373
5,pexels-photo-3419675_-1_-1_3_-1_-2.jpeg,0.7281808257102966,0.2650212049484253,0.2956343591213226,"[-0.34568673372268677, 0.14524327218532562, 1.1957367658615112, 0.37973424792289734, -0.06017187237739563, -0.04951057583093643, 0.37551113963127136, 0.18007686734199524, 0.18154753744602203]","[-0.22467249631881714, 0.048156172037124634, 0.07455884665250778, 0.3798181116580963, -0.26306435465812683, -0.4186185300350189, 0.20182186365127563, 0.23454132676124573, 0.056989073753356934]","[-0.23368972539901733, 0.13686783611774445, 0.0800386294722557, 0.351580411195755, -0.12069663405418396, -0.30439144372940063, 0.19638663530349731, 0.0461953729391098, 0.21560907363891602]",0.3236910013688935,0.2113600861695077,0.1872728624277644,0.2837806296529135
6,pexels-photo-962352_-1_-1_0_0_-2.jpeg,0.3005704581737518,0.4059690237045288,0.5924952626228333,"[0.060243092477321625, 0.39829221367836, -0.3342086672782898, 0.38301631808280945, 0.3366817831993103, 0.3177952766418457, 0.02648577094078064, 0.17214059829711914, -0.4997017979621887]","[-0.14036047458648682, 0.36788859963417053, -0.29069891571998596, 0.09732943773269653, 0.44868209958076477, 0.2636954188346863, 0.09153367578983307, 0.1364510953426361, -0.3668998181819916]","[-0.4555057883262634, 0.6781026721000671, -0.47404682636260986, 0.2350389063358307, 0.40778639912605286, 0.3925428092479706, 0.09274429082870483, -0.06995133310556412, -0.2536310851573944]",0.280951724284225,0.2448377261559168,0.3399277900656064,0.1540706153657121
7,pexels-photo-374603_0_0_2_-2_-1.jpeg,0.2115471065044403,0.1754691451787948,0.2464493960142135,"[0.16903671622276306, -0.10042482614517212, 0.12570686638355255, -0.1542283147573471, 0.1449693739414215, -0.04133659601211548, 0.1449054479598999, -0.35546526312828064, 0.32806530594825745]","[0.15939749777317047, -0.11408880352973938, 0.11363368481397629, -0.21043647825717926, 0.1816621869802475, -0.0405944362282753, 0.1420503556728363, -0.3357708752155304, 0.306434690952301]","[0.195734441280365, -0.1369311660528183, 0.2470369040966034, -0.1370309591293335, 0.12434744834899902, -0.16930150985717773, 0.15728284418582916, -0.09762177616357803, 0.2247910499572754]",0.1737931900554233,0.1782298899359173,0.1655642332302199,0.0988224040395516
8,pexels-photo-416528_0_0_2_-1_0.jpeg,0.3667832314968109,0.2185011804103851,0.2133581638336181,"[-0.272628515958786, 0.6255624890327454, -0.09462291747331619, 0.5164158344268799, 0.11779588460922241, 0.27697479724884033, 0.16291971504688263, 0.0791361853480339, 0.07017858326435089]","[-0.11246887594461441, 0.3683238923549652, 0.06881319731473923, 0.4022093117237091, 0.06036640703678131, 0.18097949028015137, 0.1759358048439026, 0.5369811654090881, -0.19217540323734283]","[-0.3802339434623718, 0.761328399181366, -0.1917162537574768, 0.4622294008731842, 0.19031280279159546, 0.33126041293144226, 0.15340588986873627, 0.4035772383213043, -0.1234661191701889]",0.2462483247121175,0.2331392831272549,0.3330589400397407,0.0559169249490548
9,pexels-photo-2253906_0_0_0_-3_-1.jpeg,0.3599968254566192,0.3985965549945831,0.4386899471282959,"[-0.06969863921403885, 0.32088348269462585, 0.4815187454223633, 0.2986660301685333, 0.46492767333984375, -0.12066743522882462, 0.21500751376152039, 0.19160841405391693, -0.05334717035293579]","[-0.21122196316719055, 0.33137476444244385, 0.3940197229385376, 0.24229612946510315, 0.0960717499256134, -0.11998884379863739, 0.21835459768772125, 0.1724330484867096, -0.1229827031493187]","[-0.059721507132053375, 0.24657079577445984, 0.4574267566204071, 0.2147884964942932, 0.2861880660057068, -0.08419173210859299, 0.21706706285476685, 0.30745917558670044, -0.06152988225221634]",0.2462583449151781,0.212082613673475,0.2149937194254663,0.025391876612007
